1', 'Bugs Bunny', 'Loves carrot'
2', 'Mickey Mouse', 'Mouse with yellow glowes'
3', 'Daffy Duck', 'Black Duck'
4', 'Homer Simpson', 'Yellow man in blue pants'
5', 'Popeye', 'Holds can with spinach'
6', 'Charlie Brown', 'Little boy standing on the grass with hands in pockets'
7', 'Donald Duck', 'Duck with red bow-tie'
8', 'Tweety', 'Yellow canary with big head'
9', 'Snoopy', 'White dog wanna hug'
10', 'Bart Simpson', 'Yellow boy with slingshot'
11', 'Betty Boop', 'Lady with a huge bouquet of roses'
12', 'Porky Pig', 'Pork in a blue jacket and red bow-tie')
13', 'Winnie-the-Pooh', 'Bear in a rad T-shirt'
14', 'Superman', 'Strong man in  blue tight suit and red cape'
15', 'Yogi Bear', 'Brown bear with green hat and tie'
16', 'Elmer Fudd', 'Hunter with gun'
17', 'Stewie Griffin', 'Little boy with huge prolate head'
18', 'Woody Woodpecker', 'Bird with red hain riding scooter'
19', 'Goofy', 'Dog with fishing rod'
20', 'Tom and Jerry', 'Cat and mouse'
21', 'Pikachu', 'Yellow creature with lightning bolt shape tail'
22', 'Beavis and Butt-Head', 'Two guys in shorts'
